Date,Analyser,Material,Sample ID,Sample Name,Supplier,StandardConc,Analyte1,Analyte2,Analyte3,Analyte4,Analyte5,Analyte6,Analyte7,Analyte8,Analyte9,Analyte10
DD/MM/YYYY,Analyser1,Standard,Standard1,,,,,,,,,,,,,
,Analyser2,,Standard1,,,,,,,,,,,,,
,,,Standard1,,,,,,,,,,,,,
,,,Standard2,,,,,,,,,,,,,
,,,Standard2,,,,,,,,,,,,,
,,,Standard2,,,,,,,,,,,,,
,,,Standard3,,,,,,,,,,,,,
,,,Standard3,,,,,,,,,,,,,
,,,Standard3,,,,,,,,,,,,,
,,,Standard4,,,,,,,,,,,,,
,,,Standard4,,,,,,,,,,,,,
,,,Standard4,,,,,,,,,,,,,
,,,Standard5,,,,,,,,,,,,,
,,,Standard5,,,,,,,,,,,,,
,,,Standard5,,,,,,,,,,,,,
